T,800 ℃,950 ℃
δ,0.125-0.25,0.125-0.25
Sr0.125Ca0.625Y0.25Fe0.25.75,2.14715,2.01038
Sr0.125Ca0.75La0.125Fe0.25.75,2.04099,1.9111
Sr0.125Ca0.875Co0.125Cu0.125.75,2.73465,2.60981
Sr0.125Ca0.875Co0.125Cu0.25.625,2.71977,2.59368
Sr0.125Ca0.875Co0.125Mg0.125.75,2.73465,2.60981
Sr0.125Ca0.875Co0.125Mg0.25.625,2.71977,2.59368
Sr0.125Ca0.875Co0.125Mn0.125.75,2.73465,2.60981
Sr0.125Ca0.875Co0.125Mn0.25.625,2.71977,2.59368
Sr0.125Ca0.875Co0.125Ni0.125.75,2.73465,2.60981
Sr0.125Ca0.875Co0.125Ni0.25.625,2.71977,2.59368
Sr0.125Ca0.875Co0.25Cu0.125.625,2.71977,2.59368
Sr0.125Ca0.875Co0.25Mg0.125.625,2.71977,2.59368
Sr0.125Ca0.875Co0.25Mn0.125.625,2.71977,2.59368
Sr0.125Ca0.875Co0.25Ni0.125.625,2.71977,2.59368
Sr0.125Ca0.875Cu0.125Mg0.125.75,2.73465,2.60981
Sr0.125Ca0.875Cu0.125Mg0.25.625,2.71977,2.59368
Sr0.125Ca0.875Cu0.125Mn0.125.75,2.73465,2.60981
Sr0.125Ca0.875Cu0.125Mn0.25.625,2.71977,2.59368
Sr0.125Ca0.875Cu0.125Ni0.125.75,2.73465,2.60981
Sr0.125Ca0.875Cu0.125Ni0.25.625,2.71977,2.59368
Sr0.125Ca0.875Cu0.25Mg0.125.625,2.71977,2.59368
Sr0.125Ca0.875Cu0.25Mn0.125.625,2.71977,2.59368
Sr0.125Ca0.875Cu0.25Ni0.125.625,2.71977,2.59368
Sr0.125Ca0.875Fe0.125Co0.125.75,2.07528,1.92061
Sr0.125Ca0.875Fe0.125Co0.25.625,2.09196,1.93732
Sr0.125Ca0.875Fe0.125Cu0.125.75,2.07528,1.92061
Sr0.125Ca0.875Fe0.125Cu0.25.625,2.09196,1.93732
Sr0.125Ca0.875Fe0.125Mg0.125.75,2.07528,1.92061
Sr0.125Ca0.875Fe0.125Mg0.25.625,2.09196,1.93732
Sr0.125Ca0.875Fe0.125Mn0.125.75,2.07528,1.92061
Sr0.125Ca0.875Fe0.125Mn0.25.625,2.09196,1.93732
Sr0.125Ca0.875Fe0.125Ni0.125.75,2.07528,1.92061
Sr0.125Ca0.875Fe0.125Ni0.25.625,2.09196,1.93732
Sr0.125Ca0.875Mg0.125Ni0.125.75,2.73465,2.60981
Sr0.125Ca0.875Mg0.125Ni0.25.625,2.71977,2.59368
Sr0.125Ca0.875Mg0.25Ni0.125.625,2.71977,2.59368
Sr0.125Ca0.875Mn0.125Mg0.125.75,2.73465,2.60981
Sr0.125Ca0.875Mn0.125Mg0.25.625,2.71977,2.59368
Sr0.125Ca0.875Mn0.125Ni0.125.75,2.73465,2.60981
Sr0.125Ca0.875Mn0.125Ni0.25.625,2.71977,2.59368
Sr0.125Ca0.875Mn0.25Mg0.125.625,2.71977,2.59368
Sr0.125Ca0.875Mn0.25Ni0.125.625,2.71977,2.59368
Sr0.125K0.125Sm0.75Co0.25.75,1.96967,1.8919
Sr0.125K0.125Sm0.75Cu0.25.75,1.96967,1.8919
Sr0.125K0.125Sm0.75Mg0.25.75,1.96967,1.8919
Sr0.125K0.125Sm0.75Mn0.25.75,1.96967,1.8919
Sr0.125K0.125Sm0.75Ni0.25.75,1.96967,1.8919
Sr0.125K0.125Y0.125Sm0.625Ti1,2.31184,2.25201
Sr0.125K0.125Y0.25Sm0.5Ti1,2.20578,2.14669
Sr0.125K0.125Y0.375Sm0.375Ti1,2.19703,2.1361
Sr0.125K0.125Y0.5Sm0.25Ti1,2.20201,2.13798
Sr0.125K0.125Y0.625Sm0.125Ti1,2.37158,2.31135
Sr0.125K0.125Y0.75Co0.125.875,1.9979,1.92512
Sr0.125K0.125Y0.75Co0.25.75,2.02405,1.93846
Sr0.125K0.125Y0.75Cu0.125.875,1.9979,1.92512
Sr0.125K0.125Y0.75Cu0.25.75,2.02405,1.93846
Sr0.125K0.125Y0.75Mg0.125.875,1.9979,1.92512
Sr0.125K0.125Y0.75Mg0.25.75,2.02405,1.93846
Sr0.125K0.125Y0.75Mn0.125.875,1.9979,1.92512
Sr0.125K0.125Y0.75Mn0.25.75,2.02405,1.93846
Sr0.125K0.125Y0.75Ni0.125.875,1.9979,1.92512
Sr0.125K0.125Y0.75Ni0.25.75,2.02405,1.93846
Sr0.125K0.25Y0.125Sm0.5Ti1,2.14587,2.08989
Sr0.125K0.25Y0.25Sm0.375Ti1,2.14945,2.09355
Sr0.125K0.25Y0.375Sm0.25Ti1,2.12734,2.06851
Sr0.125K0.25Y0.5Sm0.125Ti1,2.1523,2.09141
Sr0.125La0.125K0.125Sm0.625Ti1,2.31624,2.25655
Sr0.125La0.125K0.125Y0.625Ti1,2.38221,2.32295
Sr0.125La0.125K0.25Sm0.5Ti1,2.14608,2.08945
Sr0.125La0.125K0.25Y0.5Ti1,2.14537,2.08519
Sr0.125La0.25K0.125Sm0.5Ti1,2.2658,2.20829
Sr0.125La0.25K0.125Y0.5Ti1,2.2047,2.14249
Sr0.125La0.25K0.25Sm0.375Ti1,2.20948,2.15514
Sr0.125La0.25K0.25Y0.375Ti1,2.17024,2.11445
Sr0.125La0.25Y0.625Ni0.625Ti0.375,2.61471,2.48821
Sr0.125La0.375K0.125Sm0.375Ti1,2.26934,2.2061
