T,800 ℃,800 ℃,800 ℃,950 ℃,950 ℃,950 ℃
δ,0.25-0.375,0.3125-0.4375,0.375-0.5,0.25-0.375,0.3125-0.4375,0.375-0.5
Ba0.375Ca0.625Fe0.25Co0.25Ti0.5,2.54604,2.61325,2.68046,2.40315,2.47174,2.54034
Ba0.375Ca0.625Fe0.25Cu0.25Ti0.5,2.54604,2.61325,2.68046,2.40315,2.47174,2.54034
Ba0.375Ca0.625Fe0.25Mg0.25Ti0.5,2.54604,2.61325,2.68046,2.40315,2.47174,2.54034
Ba0.375Ca0.625Fe0.25Mn0.25Ti0.5,2.54604,2.61325,2.68046,2.40315,2.47174,2.54034
Ba0.375Ca0.625Fe0.25Ni0.25Ti0.5,2.54604,2.61325,2.68046,2.40315,2.47174,2.54034
Ba0.375Ca0.625Mg0.125Ni0.375Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Mg0.25Ni0.25Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Mg0.375Ni0.125Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Mn0.125Mg0.375Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Mn0.125Ni0.375Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Mn0.25Mg0.25Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Mn0.25Ni0.25Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Mn0.375Mg0.125Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Mn0.375Ni0.125Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375K0.125Sm0.5Co0.625Ti0.375,2.09079,2.40176,2.71274,1.94861,2.25234,2.55622
Ba0.375K0.125Sm0.5Mn0.625Ti0.375,2.12454,2.42614,2.72774,1.97938,2.27535,2.57149
Ba0.375K0.375Sm0.25Fe0.125.875,2.35833,2.34767,2.33702,2.21952,2.20313,2.19069
Ba0.375K0.375Y0.25Fe0.125.875,2.40297,2.37166,2.34035,2.26313,2.22574,2.19222
Ba0.375La0.125Sm0.5Mg0.625Ti0.375,2.00648,2.24247,2.47846,1.87154,2.0992,2.32686
Ba0.375La0.125Sm0.5Ni0.625Ti0.375,2.18936,2.44681,2.70426,2.04992,2.29682,2.54372
Ba0.375La0.125Y0.5Mg0.625Ti0.375,2.03707,2.26404,2.49102,1.90611,2.11874,2.33137
Ba0.375La0.25K0.375Fe0.125.875,2.35833,2.34767,2.33702,2.21952,2.20313,2.19069
